employee_id,store_id,role,hire_date,fte
1001,201,Style Advisor,2023-09-01,0.88
1002,202,Style Advisor,2023-09-16,0.66
1003,203,Manager,2023-10-01,0.79
1004,201,Style Advisor,2023-10-16,0.64
1005,202,Key Holder,2023-10-31,0.73
1006,203,Manager,2023-11-15,0.68
1007,201,Style Advisor,2023-11-30,0.83
1008,202,Style Advisor,2023-12-15,0.69
1009,203,Manager,2023-12-30,0.73
1010,203,Style Advisor,2024-01-14,0.86
1011,203,Style Advisor,2024-01-29,0.71
1012,201,Key Holder,2024-02-13,0.95
1013,203,Key Holder,2024-02-28,0.59
1014,201,Style Advisor,2024-03-14,0.87
1015,201,Style Advisor,2024-03-29,0.71
1016,201,Style Advisor,2024-04-13,0.71
1017,201,Style Advisor,2024-04-28,0.82
1018,203,Style Advisor,2024-05-13,0.76
1019,203,Style Advisor,2024-05-28,0.71
1020,201,Key Holder,2024-06-12,0.5
